edad,genero,departamento,tema
68,Mujer,Colonia,Todo lo que pasa en nuestro país sobre todo a nivel político
65,Mujer,Canelones,Seguridad
36,Mujer,Maldonado,Educación 
37,Varón,Montevideo,Corrupcion
30,Mujer,Montevideo,Desempleo
56,Varón,Canelones,
37,Varón,Montevideo,
40,Varón,Montevideo,
42,Mujer,Montevideo,Feminismos 
61,Varón,Montevideo,Temas ambientales
53,Mujer,Canelones,Trabajo
48,Mujer,Tacuarembo,Educación y desempleo
42,Mujer,Montevideo,Laborales
56,Varón,Tacuarembo,Empleo
53,Mujer,Montevideo,Salud mental en tiempos de Covid
63,Varón,Montevideo,la influencia de la pobreza en el futuro cercano
33,Varón,Canelones,. 
76,Varón,Montevideo,No lo sé. 
35,Mujer,Montevideo,
49,Varón,Montevideo,No sé..esta encuesta estuvo bien 
66,Varón,San Jose,Culturales 
59,Varón,Canelones,Corrupción  en esferas de gobierno.
38,Mujer,Montevideo,
33,Mujer,Montevideo,Educación 
57,Mujer,Canelones,Medios de prensa
60,Varón,San Jose,Sí
64,Mujer,Montevideo,Educación 
80,Mujer,Montevideo,No se 
19,Mujer,Montevideo,violencia o pobreza 
39,Mujer,Montevideo,Laboral 
62,Mujer,Canelones, Medicina 
46,Mujer,Canelones,
64,Mujer,Tacuarembo,El desastre que dejó el gobierno anterior 
58,Mujer,Montevideo,La realidad de la gente común en esta actualidad
37,Varón,Montevideo,Ciencia en Uruguay
26,Mujer,Montevideo,
43,Mujer,Montevideo,Mujeres y contexto laboral/familiar en pandemia 
63,Mujer,Montevideo,salud
32,Mujer,Maldonado,
33,Mujer,Montevideo,Sustentabilidad 
47,Varón,Rivera,Educación
31,Mujer,Canelones,
65,Mujer,Colonia,Buena información 
50,Varón,Canelones,Trabajo
38,Mujer,Montevideo,"Calidad de vida, alimentación, consumo y adquisición de bienes materiales como electrodomésticos, autos, etc."
40,Mujer,Montevideo,
60,Varón,Montevideo,Grupos de poder en Uruguay
30,Mujer,Montevideo,
27,Mujer,Montevideo,Pobreza en Uruguay
23,Varón,Montevideo,
22,Mujer,Montevideo,
62,Mujer,Montevideo,Respinsabilidades
62,Mujer,Paysandu,
53,Varón,Montevideo,"Economico educativo, seguridad "
41,Mujer,Montevideo,Educación
67,Mujer,Cerro Largo,La inseguridad
72,Mujer,Rivera,
64,Mujer,Montevideo,
38,Mujer,Canelones,Alimentación
41,Varón,Montevideo,"Tecnología, internet, libertad democrática, ciencias"
28,Mujer,Montevideo,No se
70,Varón,Montevideo,EFECTIVIDAD DE LA DE LA VACUNACION
34,Varón,Rivera,"La inclinación de los medios a favor del gobierno. Lo poco seria de las encuestas de popularidad del presidente. La casi nula asistencia del gobierno con un 0,14 del PBI a la gente durante la pandemia"
63,Varón,Canelones,Medidas económicas y sociales
45,Mujer,Maldonado,"Trabajo en el turismo, me gustaría tener más información de cómo se va a ir solucionando"
21,Mujer,Montevideo,
23,Varón,Montevideo,La polarización política del Uruguay 
99,Mujer trans,Artigas,Ggg
75,Mujer,Colonia,Que. No.sea.todo.contra.el.nuestro.presidente.porque.es.de.todos.nos
31,Mujer,Montevideo,Educación
67,Mujer,Montevideo,El Estado en las enfermedades sociológicas post pandemia en adolescentes 
42,Mujer,Montevideo,Sería interesante saber estadísticamente qué tan manipulable y borrega es la gente.
59,Varón,Montevideo,INSEGURIDAD
47,Mujer,Florida,Educacion
62,Mujer,Paysandu,Eliminar el frente amplio
57,Mujer,Treinta y Tres,Educacion
19,Varón,Montevideo,
72,Mujer,Montevideo,
49,Mujer,Montevideo,Medio ambiente
39,Varón,Canelones,Trabajo 
37,Mujer,Montevideo,
49,Mujer,Montevideo,La juventud y sus necesidades en esta coyuntura
64,Mujer,Montevideo,
64,Mujer,Canelones,Economía de la región
66,Mujer,Canelones,Situación de la infancia y la vejez
71,Mujer,Florida,"Trabajo, salud, educación, nivel de pobreza, ayuda del Mides"
29,Mujer,Canelones,
23,Varón,Salto,Situación sociocultural del país 
56,Mujer,Montevideo,Educación 
80,Mujer,Montevideo,No tengo preferencia. Pero todas las encuestas preguntan lo mismo.
66,Mujer,Montevideo,
60,Mujer,Montevideo,"La corrupción de los políticos, médicos, policías,etc... Y el GENOCIDIO que está llevando a cabo"
39,Mujer,Montevideo,
45,Varón,Colonia,La soberbia de Lacalle Pou y su incapacidad para afrontar la epidemia y lo reverendo culo roto que es
61,Mujer,Maldonado,Como salir de ésta crisis y no poder trabajar por mi edad 
39,Mujer,Montevideo,Educación escolar 
77,Mujer,Montevideo,Cultura.teatro.lectura.musica.Educacion.
56,Mujer,Montevideo,"Salud no solo covid, y desempleo"
64,Varón,Montevideo,LA BAJA DE LAS JUBILACIONES
60,Varón,Montevideo,
45,Varón,Montevideo,Upm 2
58,Mujer,Montevideo,Cambio climático
60,Varón,Montevideo,Los politicos quien les cree
40,Varón,Montevideo,
43,Mujer,Cerro Largo,Violencia doméstica
37,Mujer,Montevideo,Prestamos y empleos
20,Varón,Montevideo,
79,Mujer,Montevideo,Salud mental de la población a causa de los cambios
49,Mujer,Montevideo,
67,Mujer,Montevideo,Educación 
53,Mujer,Montevideo,ni idea
77,Varón,Montevideo,No me animo a responder
31,Mujer,Colonia,Telecomunicaciones 
49,Mujer,Montevideo,
66,Mujer,Montevideo,
51,Varón,Montevideo,Gastos innecesarios del estado
33,Mujer,Montevideo,
68,Mujer,Canelones,Me es indiferente. 
47,Mujer,Tacuarembo,Consumo de drogas legales e ilegales
43,Mujer,Montevideo,Salud mental
68,Mujer,Montevideo,cualquier tema no comercial
48,Varón,Montevideo,Lo pésimo que es el sistema para agendar las vacuna
54,Varón,Montevideo,Cultura en Uruguay 
62,Mujer,Montevideo,Seguridad y narcotráfico
52,Mujer,Canelones,Medio ambiente
64,Varón,Colonia,EL PROBLEMA PRINCIPAL.LA FALTA DE TRABAJO
62,Mujer,Montevideo,Los abusos intrafamiliares
33,Mujer,Canelones,Aprendizaje y salud mental de niños y adolescentes en pandemia
33,Varón,Canelones,
69,Mujer,Montevideo,Pobreza en Uruguay
33,Varón,Montevideo,
35,Mujer,Montevideo,
68,Mujer,Maldonado,Cómo fueron los contagios 
41,Mujer,Maldonado,La educación de los niños 
61,Mujer,Lavalleja,Salud mental
59,Mujer,Montevideo,
49,Mujer,Montevideo,salud y  educacion de niños y jovenes
42,Varón,Rio Negro,Desigualdad social y laboral
63,Mujer,Montevideo,No se me ocurre
80,Mujer,Maldonado,No se
60,Mujer,Rivera,Trabajo en uruguay 
65,Varón,Montevideo,Si
62,Mujer,Soriano,Trabajo 
70,Mujer,Montevideo,Desempleo
54,Varón,Paysandu,Medios de comunicación y su imparcialidad 
76,Varón,Montevideo,"Directamente cuán fe acuerdo esta en pueblo con en gobierno nacional, y después trasmitir la verdad sobre la encuesta. No.los resultados frsguafos que hoy dan las encuestadoras"
62,Mujer,Rio Negro,Educación para la Salud
37,Mujer,Maldonado,
26,Mujer,Montevideo,.
59,Mujer,Rocha,"Agenda de derechos, libertad sindical,"
61,Mujer,Montevideo,
67,Varón trans,San Jose,Distribución de la riqueza no 
48,Mujer,Montevideo,Eliminar Fondo se solidaridad y adicional
63,Mujer,Montevideo,Como mejorar la economía y pobreza
42,Mujer,Montevideo,
52,Varón,Montevideo,Corrupción en actual gobierno
50,Mujer,Montevideo,"Sociales, políticos, comprensión en general de la información recibida "
39,Varón,Montevideo,Futuro ciencia tecnología medio ambiente 
56,Mujer,Maldonado,Apoyo a unipersonales 
18,Varón,Montevideo,Aprobación de todo el gabinete presidencial
19,Varón,Montevideo,Política 
63,Varón,Montevideo,Los medios de comunicación y el gobierno
37,Varón,Montevideo,
31,Mujer,Soriano,
68,Varón,Montevideo,Región y Uruguay 
37,Varón,Montevideo,
63,Varón,Maldonado,"Mercosur, relaciones laborales, pasividades, sindicatos"
58,Mujer,Montevideo,Sobre el hambre y el maltrato a los niños y anales
18,Varón,Montevideo,"Feminismo, Lobby LGBT."
47,Mujer,Montevideo,Porqué la gente apoya medidas que los perjudican 
41,Mujer,Montevideo,Delincuencia 
45,Mujer,Montevideo,Me gusta responder por todos los temas 
60,Mujer,Montevideo,"Medio ambiente, salud mental, Tránsito, medios de comunicación. "
57,Mujer,Maldonado,Vivienda
60,Mujer,Montevideo,Situación social real del país
56,Mujer,Cerro Largo,Educación 
63,Mujer,Salto,
49,Mujer,Montevideo,
58,Mujer,Montevideo,Crisis económica y social 
71,Mujer,Montevideo,Me gusta responder cuando abarcan varios temas
55,Mujer,Montevideo,No tengo ideas ahora 
69,Mujer,Rio Negro,Educación 
18,Mujer,Maldonado,"Educación, inclusión "
65,Varón,Montevideo,Pobreza 
58,Mujer,Colonia,Situación económica del pais
74,Varón,Florida,Profilaxis de infestacion en masa
30,Mujer,Montevideo,No se
72,Otro,Montevideo,Preguntar sobre canales y periodistas que hacen politica
49,Mujer,Maldonado,
72,Mujer,Soriano,Sociales y económicos. 
42,Varón,Rocha,"Desigualdad en acceso a servicios en interior (centralización), situación de personas con discapacidad"
84,Mujer,Montevideo,"La democracia, la empatía, la solidaridad."
48,Mujer,Canelones,
40,Varón,Florida,Trabajo e inseguridad
60,Varón,Rio Negro,
56,Mujer,Montevideo,Suicidios.economia 
30,Varón,Montevideo,
34,Varón,Canelones,Injerencia de poderes supranacionales en el gobierno. 
37,Mujer,Maldonado,"Educación,desempleo,necesidades basicas insatisfechas,acceso a i ternet"
40,Mujer,Montevideo,
67,Mujer,Montevideo,Igual a la actual
53,Mujer,Montevideo,Sexualidad de jóvenes 
67,Mujer,Montevideo,Artículos de consumo comestibles
59,Mujer,Canelones,"Por ejemplo : porque no se atienden otras patologías si no es corona virus , porque no atienden a personas que se sienten mal y no por covid si no quizás por cáncer etc "
57,Mujer,Canelones,
69,Mujer,Montevideo,Salud
63,Mujer,Montevideo,Desempleo. Pobreza. Educación. Violencia. Inseguridad 
65,Mujer,Canelones,
54,Mujer,Montevideo,educación
64,Mujer,Montevideo,"Corrupción, inseguridad, eficiencia del gobierno, actuación de la oposición "
38,Mujer,Canelones,
70,Mujer,Artigas,"Trabajo p todos  ,en especial a los jóvenes. Mientras una persona trabaje en 2 0 3 lugares los otros sin nada ."
46,Varón,Montevideo,A
48,Varón,Montevideo,"Diversidad sexual, derechos humanos, derechos de los animales, situación de las calles y veredas de Montevideo "
24,Mujer,Montevideo,Violencia policial
42,Mujer,Montevideo,Ollas populares/activismo social
55,Mujer,Canelones,
64,Mujer,Maldonado,
60,Mujer,Montevideo,Inseguridad
51,Mujer,Montevideo,
65,Mujer,Rocha,
49,Varón,Rivera,"Tratamientos alternativos para el Covid, no incluidos en los protocolos de la OMS"
64,Mujer,Montevideo,Las  ollas populares 
35,Mujer,Montevideo,Población trans 
48,Mujer,Montevideo,Seguridad 
32,Mujer,Canelones,Percepción de la pobreza y la desigualdad por la sociedad. Qué postura tenemos con respecto a este problema como sociedad.
66,Varón,Montevideo,
60,Mujer,Canelones,"Que preguntaran qué opinamos sobre lo que se gasto en15 años de gobierno progresista . Ej : gas sayago, pluna, Ancap , subvención de cañeros por alud , aratiri, tráfico de cargos políticos como el gerente de aratiri a la IMM, tamb los hay en canelones "
28,Mujer,Montevideo,
57,Mujer,Montevideo,Corrupción del Ejecutivo. Posibles responsabilidad penal ante la pandemia. Elecciones anticipadas. 
45,Mujer,Salto,Medios de comunicación privados y blindaje mediático al gobierno
57,Varón,Paysandu,
64,Mujer,Colonia,Esta muy completa
71,Mujer,Montevideo,Temas sociales
55,Mujer,Canelones,
65,Mujer,Montevideo,
70,Mujer,Colonia,Incidencia de la inflación en la canasta básica.
57,Mujer,Montevideo,Costo de vida. Aumento e inflación. Alquileres y sus costos.
79,Mujer,Montevideo,
60,Mujer,Salto,educacion on line
47,Mujer,Rio Negro,Salud 
62,Mujer,Florida,
51,Varón,Montevideo,NS/NC
54,Mujer,Montevideo,Si las personas mayores de 45 años tienen problemas para conseguir trabajo por su edad.
59,Varón,Rio Negro,Sobre la vacunación 
73,Varón,Montevideo,Politica internacional.
46,Mujer,Canelones,Blindaje mediático presidencial
59,Mujer,Montevideo,
43,Varón,Montevideo,x
60,Mujer,Maldonado,AYUDA ALIMENTICIA
74,Varón,Montevideo,
49,Varón,Soriano,Peñarol o Nacional? 
57,Mujer,Montevideo,Inseguridad
52,Mujer,Maldonado,Educacion
51,Varón,Montevideo,Ppnreza
35,Varón,Montevideo,
38,Mujer,Montevideo,
63,Mujer,Colonia,
44,Varón,Canelones,Los retroceos de los derechos en general y de la mujer. La verdad y los medios. La ética de los medios de comunicación
79,Varón,Canelones,Auditorias
74,Mujer,Montevideo,Pobreza....Desempleo
62,Mujer,Montevideo,Quisiera recibir los resultados de la encuesta....la verdad
66,Mujer,Montevideo,El hambre que pasa el pueblo
59,Mujer,Montevideo,
61,Varón,Montevideo,Si
81,Mujer,Maldonado,Me interesan todos 
34,Varón,Canelones,Salud
55,Mujer,Montevideo,no sabe no contesta 
37,Varón,Canelones,De todo
66,Mujer,Montevideo,Reforma seguridad social
61,Mujer,Canelones,Educación
59,Mujer,Montevideo,"Que piensa la gente de las suba de precio impresionante de la canasta familiar, servicios públicos, combustibles etc"
80,Varón,Canelones,
63,Mujer,Maldonado,Violencia de género; maltrato y abuso sexual infantil y adolescente; corresponsabilidad fliar
63,Mujer,Montevideo,
56,Mujer,Montevideo,"Sobre  la  violencia, toda,no solo la que está en la calle,la de la casa,del niño del chófer toda e gral"
34,Varón,Montevideo,No se
30,Varón,Montevideo,Responsabilidad Individual
65,Varón,Colonia,El blindaje informatico que ayuda al gobierno
25,Mujer,Montevideo,
57,Varón,Canelones,La agresividad general que existe en la sociedad y solapada en las redes sociales con comentarios y opiniones
28,Mujer,Montevideo,Medidas de aislamiento
53,Mujer,Montevideo,"Educacion, seguridad, desempleo"
60,Varón,Montevideo,No se
73,Varón,Montevideo,Pobreza y desempleo.
69,Mujer,Montevideo,?
63,Mujer,Montevideo,
57,Mujer,Maldonado,No lo sé
70,Mujer,Montevideo,Gestión de gobierno
68,Varón,Paysandu,
66,Mujer,Salto,Salida laboral en época de crisis sanitaria
57,Varón,Treinta y Tres,Seguridad social
65,Mujer,Montevideo,Politicos: sobre la situación y papel de la oposición 
75,Mujer,Montevideo,Salud
65,Varón,Canelones,Difusión de la informacion
70,Mujer,Montevideo,Influencia de los medios de comunicación
56,Mujer,Montevideo,No se
44,Varón,Soriano,
67,Mujer,Colonia,"Economía,trabajo,nivel socioeconómico. "
71,Mujer,Montevideo,"Pobreza ,desempleo,"
53,Varón,Montevideo,La riqueza en Uruguay
23,Mujer,Montevideo,"Género, suicidio, desempleo, policía, detenidos desaparecidos en dictadura, caja militar"
66,Mujer,Rio Negro,Trabajo
72,Mujer,Montevideo,El futuro del País. 
59,Varón,Canelones,no lo se
60,Mujer,Montevideo,Economía 
64,Mujer,Salto,El manejo inescrupuloso de los dineros del Estado durante los 15 años de Gobierno del Fa
78,Varón,Maldonado,Que se pueda combatir con exito EL COVID 19
24,Mujer,San Jose,
42,Varón,Montevideo,Futbol
20,Varón,San Jose,ME IMPORTA UN CARAJO
52,Mujer,Montevideo,Subsidios por falta de trabajo
72,Mujer,Montevideo,Estado socio económico de los habitantes 
63,Mujer,San Jose,Eutanasia
58,Mujer,Montevideo,
68,Varón,Maldonado,POLITICAS SOCIALES Y DERECHOS HUMANOS
64,Varón,Maldonado,turismo
42,Mujer,Canelones,Educación 
59,Mujer,Paysandu,Educación 
63,Mujer,Montevideo,
25,Varón,Montevideo,Que estudien antes de hacer preguntas sin sentido como la de los estados de ánimo. Qué piensan que captan con esa pregunta?????
21,Mujer,Montevideo,
69,Mujer,Maldonado,
66,Mujer,Montevideo,Manejo de fondos públicos por presidente y ministerios 
44,Mujer,Montevideo,
36,Mujer,Canelones,Trabajo
70,Mujer,Montevideo,La pobreza
37,Mujer,Montevideo,Pobreza
40,Mujer,Montevideo,Alimentación 
20,Mujer,Canelones,Inseguridad 
65,Mujer,Montevideo,"Medidas urgentes para la crisis social y económica, ademas de sanitaria"
58,Mujer,Canelones,...
66,Mujer,Montevideo,La percepción o quizá la conciencia de l pobreza que hay en Uruguay todavía.no veonque haya conciencia ni sensibilidad frente al tema
50,Mujer,Montevideo,
56,Mujer,Montevideo,Mala gestión del gobierno
38,Mujer,Montevideo,J
61,Mujer,Montevideo,Analisis Real de la pobreza y que medidas no toma el gobierno 
28,Mujer,Canelones,
56,Mujer,Montevideo,"Seguridad, empleo"
51,Mujer,Florida,Implemento de trabajo
65,Mujer,Montevideo,Visión sobre actuación del PIT/CNT
57,Mujer,San Jose,salud
46,Mujer,Montevideo,No se
66,Varón,Montevideo,economia
70,Mujer,Montevideo,Inquietudes culturales. 
31,Varón,Canelones,
33,Mujer,Montevideo,
74,Varón,Paysandu,
45,Mujer,Rocha,Adopción
73,Mujer,Montevideo,"Trabajos de campo s/pobreza alimentación, niñez educación,."
54,Mujer,Colonia,
79,Mujer,Colonia,No sabrìa
28,Varón,Montevideo,...
72,Mujer,Montevideo,Todo lo referente asalud
63,Varón,Rivera,Cuanto estamos informados en salud y política. 
41,Mujer,Montevideo,Acceso a la alimentación en el pais
71,Mujer,Maldonado,Salud 
68,Varón,Montevideo,Situación social y medidas concretas sanitarias con más alternativas de respuesta
64,Mujer,Tacuarembo,Amparar más la violencia 
45,Mujer,Montevideo,Violencia de género
68,Varón,Maldonado,No lo se
53,Varón,Durazno,
34,Mujer,Maldonado,El costo de vida 
68,Varón,Montevideo,Sobre la objetividad de los grandes medios de comunicación. 
59,Mujer,Rio Negro,
64,Varón,Montevideo,
53,Varón,Montevideo,Gestión intendencia Montevideo 
18,Varón,Canelones,Más política partidaria
56,Mujer,Canelones,Politica
51,Mujer,Canelones,No se
69,Varón,Canelones,No se
52,Varón,Montevideo,"""Contrato"" ROU-UPM"
70,Varón,Paysandu,
66,Mujer,Montevideo,Inseguridad
59,Varón,Montevideo,Simpatía política
26,Varón,Montevideo,Asesinatos
68,Mujer,Montevideo,Educación 
65,Mujer,Canelones,Porqué el gobierno no escucha a los que pueden ayudar
77,Varón,Montevideo,
75,Mujer,Canelones,Comparar logros en derechos entre los últimos presidentes. Prestigio internacionales
58,Varón,Colonia,
73,Varón,Montevideo,Los mismos
64,Varón,Montevideo,Ninguno en particular
68,Mujer,Maldonado,Temas laburales
22,Varón,Montevideo,
63,Mujer,Montevideo,"Cualquier tema que tenga que ver con Uruguay ya sea en lo económico, laboral, cultural, etc"
37,Mujer,Montevideo,
22,Varón,Montevideo,Los temas que preguntaron en esta encuesta me parecieron relevantes y muy interesantes. Ojalá lo puedan hacerlo seguido.
70,Mujer,Montevideo,Que la gente se cuestione lo que le dice la TV y las redes. Preguntas sobre la información 
66,Mujer,Montevideo,QUE PORCENTAJE DE FA FIRMAN CONTRA LA LUC
54,Varón,Maldonado,El que quieran
54,Varón,Montevideo,No tengo un tema especifico pensado
81,Mujer,Montevideo,
73,Mujer,Montevideo,Economia
65,Mujer,Montevideo,"Salud mental, prevención de trata de personas"
77,Varón,Canelones,No tengo preferencias
87,Varón,Montevideo,opiniones sobre temas de actualidad
63,Mujer,Canelones,Política
60,Mujer,Montevideo,
75,Mujer,Montevideo,
51,Mujer,Canelones,
64,Varón,Maldonado,Consumo
60,Varón,Montevideo,Ciencia medicina 
78,Mujer,Montevideo,Cómo encontrar   los  caminos que ayuden a reactivar la economía y dejar que aumenten los porcentajes del desempkeo
68,Varón,Montevideo,
62,Mujer,Montevideo,
22,Varón,Montevideo,Me pareció bastante completa. Me gustaría que profundizarán en temas respecto a la salida de la crisis por covid a nivel país.
66,Mujer,Canelones,
59,Mujer,Durazno,Me es indiferente
48,Varón,Montevideo,El desempleo
66,Mujer,Canelones,Ns
65,Varón,Montevideo,Ollas populares
78,Mujer,Cerro Largo,
39,Mujer,Montevideo,Televisión
73,Varón,Montevideo,Calidad de vida de los uruguayos
53,Varón,Rio Negro,Reciclaje cuantas personas lo hacen
61,Mujer,Montevideo,Desaprobación del gobierno
50,Mujer,Flores,
51,Varón,Canelones,Pobreza 
49,Varón,Montevideo,Caja militar y bps
61,Mujer,Montevideo,Igualdad de género
43,Varón,Canelones,"Austeridad del gobierno, objetividad o no en los medios de comunicación, en cuáles, validez de las encuestas"
66,Varón,Montevideo,Gh
67,Mujer,Montevideo,Sobre los vulnerables de la sociedad
70,Mujer,Colonia,El interior del país
61,Mujer,Montevideo,Educación y social 
59,Mujer,Montevideo,Ayudas sociales
57,Varón,Soriano,Salud mental
58,Varón,Colonia,No se
59,Mujer,Rocha,Literatura
65,Varón,Rio Negro,"Corrupción, educación, seguridad, "
26,Mujer,Montevideo,Vestimenta precios
74,Varón,Artigas,
37,Varón,Montevideo,Internas políticas
55,Varón,Montevideo,SEGUIR CON LA PANDEMIA Y LA POLITICA QUE ESTA INTIMAMENTE LIGADA
62,Mujer,Canelones,Género 
60,Mujer,Rocha,Datos sobre falta de medicamentos.y cierre.de.farmacias.en.asse
59,Mujer,Montevideo,Formas de interactuar en pandemia 
61,Mujer,Canelones,Creo que estas estan bien ha que estando en pandemia no hay espectaculos publicos sino estaria muy bien agregar sobre teatro y cine
51,Mujer,Montevideo,Trabajo en mayores de 40 años
76,Varón,Montevideo,Politicos partidarios
73,Varón,Canelones,"Sociales, consumo tecnologías"
54,Mujer,Montevideo,No sé
66,Mujer,Montevideo,LIBERTAD DE EXPRESION
61,Mujer,Canelones,Aptitud del presidente para el cargo
41,Mujer,Artigas,
57,Mujer,Canelones,"Vivienda, conectividad, educación en la pandemia"
59,Mujer,Montevideo,Trabajo
31,Varón,Montevideo,